price,parking,bathrooms,bedrooms,suburb,propertyType
223000.0,2,2,4,Nicholls,house
350000.0,1,2,3,Ngunnawal,house
550000.0,2,2,4,Weston,house
276000.0,1,1,3,Isabella Plains,house
400000.0,2,2,5,Conder,house
350000.0,2,2,3,Theodore,house
447500.0,2,2,5,Conder,house
355000.0,2,2,4,Conder,house
350000.0,1,2,4,Conder,house
435000.0,2,2,4,Banks,house
270000.0,1,1,3,Gordon,house
272500.0,1,1,3,Chisholm,house
280500.0,1,1,3,Gordon,house
385000.0,2,2,4,Banks,house
310000.0,2,2,3,Waramanga,house
255000.0,0,2,3,Conder,house
250000.0,1,1,3,Theodore,house
250000.0,1,2,3,Conder,house
420000.0,2,2,4,Conder,house
250000.0,1,1,3,Isabella Plains,house
270000.0,1,1,3,Gordon,house
308000.0,2,2,3,Banks,house
350000.0,1,2,3,Conder,house
425000.0,2,2,5,Wanniassa,house
319000.0,1,1,3,Gilmore,house
292500.0,2,2,3,Banks,house
450000.0,2,1,5,Conder,house
275000.0,1,1,3,Gordon,house
250000.0,1,1,3,Isabella Plains,house
270000.0,1,1,3,Gordon,house
545000.0,2,2,4,Banks,house
250000.0,1,1,2,Gowrie,house
250000.0,1,1,3,Isabella Plains,house
250000.0,1,1,3,Gordon,house
250000.0,1,1,3,Gordon,house
345000.0,2,2,3,Chisholm,house
320000.0,1,1,3,Conder,house
350000.0,1,2,3,Gordon,house
245000.0,1,2,2,Bonython,house
274000.0,1,1,3,Isabella Plains,house
367000.0,0,1,4,Bonython,house
250000.0,2,1,3,Banks,house
450000.0,2,2,3,Conder,house
525000.0,2,2,4,Pearce,house
250000.0,1,1,3,Isabella Plains,house
350000.0,1,2,3,Gordon,house
290000.0,1,1,3,Conder,house
328000.0,2,1,3,Isabella Plains,house
380000.0,2,2,4,Theodore,house
310000.0,2,1,3,Banks,house
465000.0,2,2,4,Calwell,house
399000.0,1,1,3,Mawson,house
1530000.0,2,2,4,O'Malley,house
359000.0,2,2,3,Kambah,house
320000.0,1,2,3,Banks,house
350000.0,2,2,3,Nicholls,house
675000.0,2,3,5,Calwell,house
875000.0,2,1,3,Yarralumla,house
875000.0,1,2,4,Deakin,house
350000.0,2,2,3,Isabella Plains,house
550000.0,2,2,4,Monash,house
385000.0,2,2,3,Kambah,house
305000.0,1,1,3,Banks,house
