price,parking,bathrooms,bedrooms,suburb,propertyType,quarters,seasons
223000.0,2,2,4,Nicholls,house,q3,fall
350000.0,1,2,3,Ngunnawal,house,q1,winter
550000.0,2,2,4,Weston,house,q4,fall
276000.0,1,1,3,Isabella Plains,house,q3,fall
400000.0,2,2,5,Conder,house,q1,winter
350000.0,2,2,3,Theodore,house,q4,fall
447500.0,2,2,5,Conder,house,q3,summer
355000.0,2,2,4,Conder,house,q4,winter
350000.0,1,2,4,Conder,house,q4,winter
435000.0,2,2,4,Banks,house,q3,fall
270000.0,1,1,3,Gordon,house,q1,winter
272500.0,1,1,3,Chisholm,house,q3,summer
280500.0,1,1,3,Gordon,house,q1,winter
385000.0,2,2,4,Banks,house,q1,winter
310000.0,2,2,3,Waramanga,house,q1,winter
255000.0,0,2,3,Conder,house,q1,winter
250000.0,1,1,3,Theodore,house,q1,spring
250000.0,1,2,3,Conder,house,q1,winter
420000.0,2,2,4,Conder,house,q1,winter
250000.0,1,1,3,Isabella Plains,house,q2,spring
270000.0,1,1,3,Gordon,house,q2,summer
308000.0,2,2,3,Banks,house,q2,summer
350000.0,1,2,3,Conder,house,q3,summer
425000.0,2,2,5,Wanniassa,house,q3,summer
319000.0,1,1,3,Gilmore,house,q2,spring
292500.0,2,2,3,Banks,house,q3,summer
450000.0,2,1,5,Conder,house,q3,summer
275000.0,1,1,3,Gordon,house,q3,summer
250000.0,1,1,3,Isabella Plains,house,q4,fall
270000.0,1,1,3,Gordon,house,q3,fall
545000.0,2,2,4,Banks,house,q3,fall
250000.0,1,1,2,Gowrie,house,q4,fall
250000.0,1,1,3,Isabella Plains,house,q4,fall
250000.0,1,1,3,Gordon,house,q4,fall
250000.0,1,1,3,Gordon,house,q2,spring
345000.0,2,2,3,Chisholm,house,q4,fall
320000.0,1,1,3,Conder,house,q4,fall
350000.0,1,2,3,Gordon,house,q1,winter
245000.0,1,2,2,Bonython,house,q2,summer
274000.0,1,1,3,Isabella Plains,house,q4,winter
367000.0,0,1,4,Bonython,house,q4,winter
250000.0,2,1,3,Banks,house,q4,winter
450000.0,2,2,3,Conder,house,q1,winter
525000.0,2,2,4,Pearce,house,q3,summer
250000.0,1,1,3,Isabella Plains,house,q1,winter
350000.0,1,2,3,Gordon,house,q1,winter
290000.0,1,1,3,Conder,house,q1,winter
328000.0,2,1,3,Isabella Plains,house,q3,summer
380000.0,2,2,4,Theodore,house,q3,fall
310000.0,2,1,3,Banks,house,q1,spring
465000.0,2,2,4,Calwell,house,q2,spring
399000.0,1,1,3,Mawson,house,q2,spring
