price,parking,bathrooms,bedrooms,suburb,propertyType,quarters,seasons
515000.0,2,2,3,Garran,house,q2,summer
710000.0,2,2,4,Latham,house,q3,fall
367500.0,2,1,4,Ngunnawal,house,q3,fall
565000.0,0,1,3,Downer,house,q2,spring
450000.0,4,1,3,Torrens,house,q1,winter
550000.0,0,1,3,Hackett,house,q2,spring
475000.0,2,2,2,Phillip,unit,q4,fall
580000.0,2,1,3,Waramanga,house,q1,winter
510000.0,2,2,4,Bonython,house,q2,summer
875000.0,2,1,3,Narrabundah,house,q4,fall
355000.0,1,2,3,Evatt,house,q3,summer
1060000.0,2,1,5,Kaleen,house,q2,spring
390000.0,1,2,3,Ngunnawal,house,q4,fall
550000.0,2,2,2,Barton,unit,q4,winter
526000.0,2,2,4,Amaroo,house,q3,summer
350000.0,1,1,2,Narrabundah,house,q4,fall
362400.0,1,1,2,Palmerston,house,q1,spring
777000.0,4,2,4,Hackett,house,q2,summer
350000.0,1,1,3,Calwell,unit,q4,fall
995000.0,2,2,5,Amaroo,house,q2,spring
550000.0,2,3,4,Forde,house,q1,spring
675000.0,2,2,4,Bruce,house,q4,winter
412500.0,1,2,2,Kingston,unit,q2,spring
900000.0,2,2,4,Throsby,house,q2,summer
315000.0,1,1,2,Kambah,unit,q2,spring
418000.0,2,1,3,Calwell,house,q2,summer
550000.0,1,2,4,Monash,house,q2,summer
450000.0,2,2,2,Wright,unit,q3,summer
462500.0,4,2,3,Kambah,house,q1,spring
531000.0,0,2,3,Fraser,house,q1,winter
562500.0,2,2,4,Nicholls,house,q3,summer
1210000.0,3,3,6,Narrabundah,house,q1,spring
467500.0,2,2,3,Bruce,unit,q4,fall
670000.0,2,1,3,Cook,house,q4,fall
484500.0,1,2,2,Braddon,unit,q4,winter
450000.0,1,2,3,Dunlop,house,q4,fall
434200.0,2,2,3,Dunlop,house,q2,spring
450000.0,2,1,4,Spence,house,q2,summer
1160000.0,1,2,4,Griffith,house,q3,summer
387500.0,2,2,3,Monash,house,q3,summer
605000.0,2,3,4,Forde,house,q4,fall
850000.0,2,2,4,Crace,house,q4,winter
515000.0,2,2,4,Holt,house,q4,winter
432000.0,2,2,3,Stirling,house,q1,winter
820000.0,2,1,3,Ainslie,house,q1,spring
473000.0,1,1,3,Bonner,house,q2,spring
550000.0,2,2,6,Fisher,house,q3,summer
442000.0,2,2,2,Dickson,unit,q1,winter
580000.0,3,2,4,Kambah,house,q4,fall
680000.0,3,1,3,Curtin,house,q4,winter
350000.0,1,1,3,Theodore,house,q3,summer
555000.0,2,2,4,Dunlop,house,q4,winter
420000.0,1,1,3,Gordon,house,q2,spring
650000.0,1,1,2,Hackett,house,q4,fall
320000.0,1,1,1,Watson,house,q2,summer
750000.0,1,1,3,Lyneham,house,q3,fall
875000.0,6,2,4,O'Connor,house,q2,summer
670000.0,2,2,4,Amaroo,house,q1,winter
550000.0,1,3,3,Narrabundah,house,q2,spring
930000.0,2,2,3,Yarralumla,house,q3,fall
1190000.0,0,2,4,Red Hill,house,q3,fall
525000.0,0,2,4,Amaroo,house,q2,summer
450000.0,1,1,3,Isabella Plains,house,q3,summer
580000.0,2,1,4,Ngunnawal,house,q1,winter
890000.0,2,3,6,Kambah,house,q1,winter
693000.0,2,3,4,Cook,house,q1,spring
350000.0,1,1,2,Bruce,unit,q1,spring
460000.0,2,1,3,Gordon,house,q3,fall
360000.0,1,1,1,Lyons,unit,q4,winter
393000.0,2,1,3,Flynn,house,q4,fall
354000.0,1,1,3,Ngunnawal,house,q3,summer
525500.0,2,2,4,Wanniassa,house,q4,fall
370000.0,1,1,3,Florey,house,q1,spring
450000.0,3,2,4,Kambah,house,q3,fall
350000.0,1,1,1,Lyneham,unit,q3,summer
587500.0,1,1,3,Duffy,house,q4,fall
450000.0,1,1,3,Florey,house,q1,winter
550000.0,2,2,3,Chisholm,house,q1,winter
675000.0,0,1,3,Yarralumla,house,q3,summer
555000.0,1,2,3,Chifley,house,q1,spring
891000.0,0,2,3,Red Hill,house,q2,summer
400000.0,1,1,1,City,unit,q4,fall
675000.0,2,1,3,Kambah,house,q4,fall
375000.0,2,2,3,Higgins,house,q4,winter
480000.0,2,2,3,Latham,house,q2,spring
580000.0,2,1,3,Pearce,house,q2,spring
720000.0,2,2,5,Curtin,house,q4,fall
592500.0,2,2,4,McKellar,house,q3,fall
297000.0,1,1,2,Banks,house,q3,fall
550000.0,2,1,3,Amaroo,house,q4,fall
675000.0,2,2,3,Farrer,house,q2,spring
610000.0,2,2,4,Palmerston,house,q1,spring
620000.0,2,1,3,Bonner,house,q1,winter
875000.0,2,2,5,Lyons,house,q2,summer
630000.0,3,1,3,Waramanga,house,q1,winter
835000.0,2,2,4,Amaroo,house,q4,fall
875000.0,1,1,3,Curtin,house,q3,summer
345000.0,1,1,2,Oxley,house,q2,spring
375000.0,2,2,3,Conder,house,q4,fall
780000.0,2,2,4,Casey,house,q4,fall
